smiles,target_name,pActivity,activity_nM,target_chembl_id
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(C(F)(F)F)cc1,EGFR,5.336487529584844,4608.0,CHEMBL203
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12,EGFR,5.996539467890493,1008.0,CHEMBL203
Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,EGFR,8.397940008672037,4.0,CHEMBL203
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1,EGFR,7.207608310501746,62.0,CHEMBL203
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(F)cc1,EGFR,8.42021640338319,3.8,CHEMBL203
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc(F)c1,EGFR,8.045757490560675,9.0,CHEMBL203
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,EGFR,8.431798275933005,3.7,CHEMBL203
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F,EGFR,8.096910013008056,8.0,CHEMBL203
Br.Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1,EGFR,6.346787486224656,450.0,CHEMBL203
Br.Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1,EGFR,7.022276394711152,95.0,CHEMBL203
Br.Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12,EGFR,7.769551078621726,17.0,CHEMBL203
Br.Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1,EGFR,7.585026652029182,26.0,CHEMBL203
Br.Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1,EGFR,7.2839966563652006,52.0,CHEMBL203
Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,EGFR,8.481486060122112,3.3,CHEMBL203
Br.Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1,EGFR,7.346787486224656,45.0,CHEMBL203
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,EGFR,6.1487416512809245,710.0,CHEMBL203
Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,EGFR,6.309803919971486,490.0,CHEMBL203
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1,EGFR,5.048176964684088,8950.0,CHEMBL203
Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,EGFR,5.504455662453552,3130.0,CHEMBL203
Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12,KCNH2,5.6020599913279625,2500.0,CHEMBL240
Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,EGFR,4.872363747448347,18000.0,CHEMBL203
Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,EGFR,5.0,10000.0,CHEMBL203
Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1.Cl,EGFR,7.087092277507399,82.5,CHEMBL203
Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,EGFR,6.854648878356072,330.5,CHEMBL203
Brc1cccc(Nc2ccnc3ccccc23)c1,EGFR,5.259637310505756,5500.0,CHEMBL203
Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,EGFR,7.337242168318426,46.0,CHEMBL203
Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,EGFR,5.5713337517843655,4100.0,CHEMBL203
Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,EGFR,5.280018032039548,5750.0,CHEMBL203
Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,EGFR,6.565431095965801,272.0,CHEMBL203
Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,EGFR,6.130768280269024,740.0,CHEMBL203
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,EGFR,7.75713928675921,85.9,CHEMBL203
Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,EGFR,6.135488918941608,732.0,CHEMBL203
Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1.CO,EGFR,7.3979400086720375,40.0,CHEMBL203
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,EGFR,8.267606240177031,5.4,CHEMBL203
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,EGFR,8.40638069008426,5.0,CHEMBL203
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,EGFR,9.292429823902063,0.51,CHEMBL203
