smiles,pred_pActivity,pred_uncertainty,pred_conservative,pred_offmax,selectivity,makeability,combined_score,parent_smiles
CNc1cc2c(Nc3cccc(F)c3)ncnc2cn1,8.685775,0.0,8.685775,5.751745,2.9340296,0.9166666666666667,0.9535163,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CNc1cc2c(Nc3cccc(C#N)c3)ncnc2cn1,8.531662,0.0,8.531662,5.7023625,2.8292994,0.9166666666666667,0.9366468,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CNc1cc2c(Nc3cccc(S(C)(=O)=O)c3)ncnc2cn1,8.44947,0.0,8.44947,5.5780053,2.8714643,0.9166666666666667,0.9362266,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1
CN(C)c1cc2c(Nc3cccc(S(C)(=O)=O)c3)ncnc2cn1,8.191973,0.0,8.191973,5.4488935,2.7430792,0.9166666666666667,0.9121181,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CN(C)c1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,8.182191,0.0,8.182191,5.4605713,2.7216196,0.9166666666666667,0.90975124,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CNc1cccc(Nc2ncnc3cnc(N(C)C)cc23)c1,8.356564,0.0,8.356564,5.7793355,2.577228,0.9166666666666667,0.9058357,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1
CN(C)c1cc2c(Nc3cccc(C#N)c3)ncnc2cn1,8.16782,0.0,8.16782,5.577222,2.590598,0.9166666666666667,0.89756835,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1
N#Cc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.247472,0.0,8.247472,5.7250657,2.522406,0.9166666666666667,0.89558417,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
CNc1cc2c(Nc3cccc(-c4ccccn4)c3)ncnc2cn1,8.234157,0.0,8.234157,5.6594443,2.5747123,0.888888888888889,0.8953285,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CN(C)c1cc2c(Nc3cccc(-c4cnccn4)c3)ncnc2cn1,8.0629015,0.0,8.0629015,5.3958397,2.6670618,0.888888888888889,0.8948463,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1
CNc1cc2ncnc(Nc3cccc(F)c3)c2cn1,8.2049,0.0,8.2049,5.751745,2.4531546,0.9166666666666667,0.88739604,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
CN(C)c1cccc(Nc2ncnc3cnc(N(C)C)cc23)c1,8.050789,0.0,8.050789,5.591612,2.459177,0.9166666666666667,0.8802175,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CNc1cccc(Nc2ncnc3cc(NC)ncc23)c1,8.091304,0.0,8.091304,5.6658683,2.4254355,0.9166666666666667,0.8792908,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
CNc1cccc(Nc2ncnc3cnc(C)cc23)c1,8.052373,0.0,8.052373,5.6720004,2.3803725,0.9166666666666667,0.8734012,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
Fc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,8.086222,0.0,8.086222,5.7399144,2.3463073,0.9166666666666667,0.872113,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1
Fc1cccc(Nc2ncnc3cc(Br)ncc23)c1,7.920718,0.0,7.920718,5.4829206,2.4377975,0.9166666666666667,0.8718432,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
CCOc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,7.98709,4.7683716e-07,7.9870896,5.590482,2.3966079,0.9166666666666667,0.87155765,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC
CCc1cccc(Nc2ncnc3cc(NC)ncc23)c1,8.101489,0.0,8.101489,5.771435,2.3300543,0.9166666666666667,0.87145424,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
CNc1cccc(Nc2ncnc3cnc(Cl)cc23)c1,8.044975,0.0,8.044975,5.6850066,2.3599687,0.9166666666666667,0.87124604,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1
Cc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,8.009765,0.0,8.009765,5.6321816,2.377583,0.9166666666666667,0.8710268,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC
Cc1cc2c(Nc3cccc(N(C)C)c3)ncnc2cn1,7.8670564,0.0,7.8670564,5.436115,2.4309416,0.9166666666666667,0.8685602,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
COc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,8.004394,0.0,8.004394,5.657145,2.3472486,0.9166666666666667,0.8681039,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
Cc1cc2c(Nc3cccc(C#N)c3)ncnc2cn1,7.8149405,4.7683716e-07,7.81494,5.3629518,2.4519887,0.9166666666666667,0.867796,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1
Cc1cccc(Nc2ncnc3cc(C#N)ncc23)c1,7.9110007,0.0,7.9110007,5.523859,2.3871417,0.9166666666666667,0.86692494,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
CNc1cccc(Nc2ncnc3cnc(F)cc23)c1,8.063367,0.0,8.063367,5.7661242,2.2972426,0.9166666666666667,0.8666771,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CCOc1cccc(Nc2ncnc3cnc(C)cc23)c1,7.8551226,0.0,7.8551226,5.4457083,2.4094143,0.9166666666666667,0.86607987,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
Fc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4F)ccc23)c1,8.1368,0.0,8.1368,5.873511,2.263289,0.888888888888889,0.86321115,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
COc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4F)ccc23)c1,8.11761,0.0,8.11761,5.865002,2.2526078,0.888888888888889,0.86131704,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
