smiles,pred_pActivity,pred_uncertainty,pred_conservative,pred_offmax,selectivity,makeability,combined_score
C#Cc1cccc(Nc2ncnc3cc(OCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.021459,0.0,9.021459,5.399375,3.6220837,0.888888888888889,1.0263386
C#Cc1cccc(Nc2ncnc3cc(OCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.075791,0.0,9.075791,5.5872827,3.4885087,0.888888888888889,1.0173675
COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],9.03294,0.0,9.03294,5.66119,3.3717499,0.888888888888889,1.0050085
COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.135836,0.0,9.135836,5.8616486,3.274187,0.888888888888889,1.0016165
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,8.761044,0.0,8.761044,5.7670345,2.994009,0.888888888888889,0.95836127
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,8.768513,0.0,8.768513,5.7913613,2.9771514,0.888888888888889,0.9572598
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],8.872606,0.0,8.872606,6.0012345,2.8713717,0.888888888888889,0.9532087
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],8.872606,0.0,8.872606,6.0416794,2.830927,0.888888888888889,0.9496698
Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,8.650098,0.0,8.650098,5.7509346,2.8991632,0.888888888888889,0.944515
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,8.320781,0.0,8.320781,5.4028206,2.9179602,0.9166666666666667,0.9338606
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,8.613121,0.0,8.613121,5.972404,2.640717,0.888888888888889,0.9200522
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,8.584398,0.0,8.584398,6.0469637,2.5374346,0.888888888888889,0.9095788
CC(=O)NCCNCc1ccc(-c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,8.36877,0.0,8.36877,5.686683,2.6820865,0.8611111111111112,0.9072878
CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,8.166464,0.0,8.166464,5.522042,2.644422,0.9166666666666667,0.9022101
OCCOCCNCc1ccc(-c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,8.330784,0.0,8.330784,5.694353,2.6364307,0.8611111111111112,0.9013936
Cc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,8.656279,0.0,8.656279,6.2542396,2.402039,0.888888888888889,0.9013257
OCCNCc1ccc(-c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,8.309052,0.0,8.309052,5.674827,2.6342254,0.8611111111111112,0.900114
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,8.350192,0.0,8.350192,5.843952,2.50624,0.888888888888889,0.895139
Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,8.22345,0.0,8.22345,5.70743,2.5160198,0.888888888888889,0.8896576
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1,8.172948,0.0,8.172948,5.77883,2.3941178,0.9166666666666667,0.8806327
