smiles,target_name,pActivity,activity_nM,target_chembl_id
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,ERBB2,5.892790030352131,1280.0,CHEMBL1824
Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,ERBB2,5.634512015109101,2320.0,CHEMBL1824
Brc1ccc(C2=NN(c3nc(-c4ccc(Br)cc4)cs3)C(c3ccc4c(c3)OCCO4)C2)cc1,ERBB2,6.337242168318426,460.0,CHEMBL1824
Brc1ccc(C2=NN(c3nc(-c4ccc(Br)cc4)cs3)C(c3ccc4c(c3)OCO4)C2)cc1,ERBB2,6.7447274948966935,180.0,CHEMBL1824
Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,EGFR,4.872363747448347,18000.0,CHEMBL203
Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,EGFR,5.0,10000.0,CHEMBL203
Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1.Cl,EGFR,7.087092277507399,82.5,CHEMBL203
Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,EGFR,6.854648878356072,330.5,CHEMBL203
Brc1cccc(Nc2ccnc3ccccc23)c1,EGFR,5.259637310505756,5500.0,CHEMBL203
Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,EGFR,7.337242168318426,46.0,CHEMBL203
Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,EGFR,5.5713337517843655,4100.0,CHEMBL203
Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,EGFR,5.280018032039548,5750.0,CHEMBL203
Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,EGFR,6.565431095965801,272.0,CHEMBL203
Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,EGFR,6.130768280269024,740.0,CHEMBL203
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,EGFR,7.75713928675921,85.9,CHEMBL203
Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,EGFR,6.135488918941608,732.0,CHEMBL203
Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1.CO,EGFR,7.3979400086720375,40.0,CHEMBL203
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,EGFR,8.267606240177031,5.4,CHEMBL203
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,EGFR,8.40638069008426,5.0,CHEMBL203
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,EGFR,9.292429823902063,0.51,CHEMBL203
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,EGFR,7.969273760456403,19.6,CHEMBL203
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,EGFR,9.040958607678906,0.91,CHEMBL203
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,EGFR,8.168243764792422,7.199999999999999,CHEMBL203
